event_id,timestamp,asset_type,user_id,action_type,resource_type,auth_status,failed_auth_attempts_past_10min,ip_address,geo_lat,geo_long,geo_dist_from_baseline_km,farm_lat,farm_long,device_type,device_os,soil_moisture_percent,soil_temp_c,humidity_percent,weather_consistency_score,irrigation_water_volume_liters,sensor_reading_variance,config_change_flag,sensor_signal_strength,anomaly_score,reason
EVT_00034,2026-02-11 15:33,soil_sensor,FARMER_071,read,sensor_data,success,1,199.144.194.120,10.02203,71.70419,2.67,10.00716,71.72335,laptop,linux,36.64,14.15,68.73,75.91,215.74,12.12,0,85.75,57.23,Normal agricultural operation
EVT_00035,2026-01-15 05:47,irrigation_controller,FARMER_006,update,irrigation_config,success,0,190.74.8.67,8.31247,83.54176,4.04,8.33295,83.57214,phone,ios,33.16,27.13,28.85,69.5,723.02,29.47,0,50.41,34.84,Normal agricultural operation
EVT_00036,2026-02-03 15:50,irrigation_controller,FARMER_059,update,irrigation_config,success,0,188.180.86.36,11.07244,85.579,5.51,11.10404,85.54006,PC,windows,43.49,12.99,58.7,100.0,1840.22,16.08,0,76.54,22.31,Normal agricultural operation
EVT_00037,2026-01-07 06:10,gateway,FARMER_081,transmit,sensor_data,success,0,18.77.4.56,15.23171,92.9909,1.89,15.24439,92.97912,PC,linux,40.75,28.65,47.87,77.1,2334.6,16.68,0,63.18,44.87,Normal agricultural operation
EVT_00038,2026-01-23 20:33,gateway,FARMER_090,transmit,sensor_data,success,1,207.91.54.236,12.96546,78.97831,2.82,12.96302,79.00421,PC,linux,39.62,32.83,52.15,69.21,1679.03,4.28,0,87.49,20.35,Normal agricultural operation
EVT_00039,2026-02-01 17:34,soil_sensor,FARMER_039,read,sensor_data,success,0,168.16.47.104,8.0043,94.94146,1.39,8.01658,94.94386,PC,windows,40.42,26.42,75.17,63.36,425.76,39.01,0,100.0,37.51,Normal agricultural operation
EVT_00040,2026-02-11 19:57,gateway,FARMER_030,login,auth_session,failure,0,178.243.138.12,26.56182,74.45115,3.0,26.54338,74.47311,PC,windows,37.49,37.53,89.41,89.49,1343.5,26.44,0,99.35,11.48,Normal agricultural operation
EVT_00041,2026-02-07 08:38,irrigation_controller,FARMER_119,update,irrigation_config,success,0,77.83.123.146,20.17522,95.11054,2.01,20.15752,95.10648,laptop,windows,47.0,16.68,84.86,90.96,1133.03,18.74,0,76.71,19.06,Normal agricultural operation
EVT_00042,2026-01-28 13:00,gateway,FARMER_079,transmit,sensor_data,success,1,199.167.15.163,32.95778,87.39542,3.19,32.92943,87.40036,phone,ios,47.14,21.75,58.24,87.3,2093.69,2.46,0,94.83,37.36,Normal agricultural operation
EVT_00043,2026-01-14 10:37,gateway,FARMER_032,transmit,sensor_data,success,0,22.137.78.98,22.86078,70.99549,289.62,33.81833,85.96206,laptop,linux,38.35,33.03,78.24,74.67,1321.5,10.37,0,90.5,85.64,Unusual geographic access
EVT_00044,2026-01-01 13:28,weather_station,FARMER_053,read,sensor_data,success,1,200.43.124.147,35.38245,88.90608,695.8,24.27968,94.03686,laptop,linux,0.0,65.0,18.0,48.46,1753.26,66.61,1,23.61,79.04,Unusual geographic access; Sensor spoofing or instability; Unauthorized configuration change
EVT_00045,2026-01-16 05:37,irrigation_controller,FARMER_105,update,irrigation_config,success,0,77.164.102.123,32.14636,96.61958,3.71,32.1786,96.62976,laptop,linux,40.25,17.32,88.65,75.08,1058.04,22.21,0,79.41,43.86,Normal agricultural operation
EVT_00046,2026-02-12 10:03,irrigation_controller,FARMER_026,config_change,irrigation_config,success,0,175.13.236.242,13.82723,86.82559,2.35,13.83338,86.84646,PC,windows,29.92,36.73,38.74,66.14,1713.14,10.02,0,67.15,37.06,Normal agricultural operation
EVT_00047,2026-01-30 23:26,soil_sensor,FARMER_092,read,sensor_data,failure,15,203.193.37.115,19.58053,82.76634,1.06,19.58261,82.77626,PC,linux,19.87,25.69,42.75,100.0,397.97,11.72,0,99.58,54.63,Multiple failed login attempts
EVT_00048,2026-01-30 10:24,irrigation_controller,FARMER_097,update,irrigation_config,success,1,204.220.54.3,34.1898,84.89385,2.68,34.21393,84.89278,PC,windows,53.33,21.55,67.99,82.61,442.21,5.8,0,75.96,33.61,Normal agricultural operation
EVT_00049,2026-01-02 02:49,irrigation_controller,FARMER_014,update,irrigation_config,success,1,107.43.59.213,33.44711,82.07803,2.23,33.46228,82.09372,phone,ios,38.59,33.33,60.12,64.87,1479.29,16.24,0,75.17,31.39,Normal agricultural operation
EVT_00050,2026-01-16 14:43,gateway,FARMER_014,config_change,device_config,success,0,190.124.89.142,33.44538,82.08636,2.0,33.46228,82.09372,laptop,windows,39.31,33.75,42.8,87.97,2176.3,2.04,0,91.96,17.26,Normal agricultural operation
EVT_00051,2026-02-10 04:34,soil_sensor,FARMER_058,read,sensor_data,success,1,100.2.109.53,10.03239,71.75422,4.39,10.00716,71.72335,phone,android,46.94,19.37,56.39,86.93,2030.92,24.78,0,34.5,26.36,Normal agricultural operation
EVT_00052,2026-01-15 06:19,irrigation_controller,FARMER_050,config_change,irrigation_config,success,1,151.58.178.91,22.17916,70.70803,3.48,22.16742,70.67666,PC,linux,44.23,40.49,53.2,74.3,802.7,15.36,0,83.96,29.47,Normal agricultural operation
EVT_00053,2026-01-17 23:44,gateway,FARMER_019,config_change,device_config,success,1,108.70.196.109,23.9581,92.24854,0.41,23.95943,92.2448,PC,windows,27.81,26.47,71.29,89.39,1094.37,16.01,0,74.59,47.69,Normal agricultural operation
EVT_00054,2026-01-07 05:07,soil_sensor,FARMER_105,read,sensor_data,success,1,144.253.209.176,32.17016,96.66375,3.33,32.1786,96.62976,laptop,windows,43.4,31.96,64.86,80.81,761.03,13.07,0,95.63,39.12,Normal agricultural operation
EVT_00055,2026-01-08 15:43,gateway,FARMER_059,transmit,sensor_data,success,1,141.57.58.69,11.10824,85.56574,2.84,11.10404,85.54006,PC,linux,4.3,22.18,85.59,95.82,1304.62,6.59,0,93.49,13.84,Normal agricultural operation
EVT_00056,2026-01-16 20:44,gateway,FARMER_105,transmit,sensor_data,success,0,113.60.121.54,32.2147,96.64079,4.15,32.1786,96.62976,laptop,windows,41.94,18.24,45.47,89.85,216.33,3.85,0,67.59,38.89,Normal agricultural operation
EVT_00057,2026-01-28 03:55,irrigation_controller,FARMER_022,config_change,irrigation_config,success,1,181.149.148.147,19.72126,75.21247,5.03,19.67602,75.21103,PC,windows,56.26,41.28,58.54,82.58,1137.8,29.39,0,73.43,30.38,Normal agricultural operation
EVT_00058,2026-01-07 15:44,gateway,FARMER_042,config_change,device_config,success,0,195.201.250.37,23.97221,92.23232,1.9,23.95943,92.2448,phone,android,35.38,17.72,77.31,70.24,48.04,3.89,0,81.2,26.88,Normal agricultural operation
EVT_00059,2026-01-27 11:39,gateway,FARMER_112,login,auth_session,success,0,118.183.32.204,8.75931,83.85011,5.27,8.76954,83.8033,phone,ios,39.16,46.78,52.68,95.66,614.58,10.35,0,62.54,42.34,Normal agricultural operation
EVT_00060,2026-01-03 04:52,gateway,FARMER_013,login,auth_session,success,1,220.80.225.117,27.28745,71.34021,5.51,27.23827,71.34743,PC,windows,58.38,35.63,54.42,100.0,356.39,22.87,0,84.37,47.37,Normal agricultural operation
EVT_00061,2026-01-04 18:01,weather_station,FARMER_086,read,sensor_data,success,0,14.202.156.186,23.54353,83.9683,4.24,23.55061,84.00918,phone,android,43.19,33.53,47.9,70.59,1222.17,15.43,0,71.5,46.18,Normal agricultural operation
EVT_00062,2026-02-09 03:43,irrigation_controller,FARMER_089,update,irrigation_config,success,0,123.36.117.99,34.54496,75.11244,4.46,34.52188,75.1522,laptop,linux,47.48,33.58,57.46,83.44,224.52,36.09,0,100.0,24.93,Normal agricultural operation
EVT_00063,2026-01-07 12:02,gateway,FARMER_068,login,auth_session,success,0,43.225.179.185,15.2572,92.94426,4.0,15.24439,92.97912,laptop,linux,45.53,27.05,83.23,93.81,758.81,9.75,0,89.54,31.29,Normal agricultural operation
EVT_00064,2026-01-07 08:43,soil_sensor,FARMER_036,read,sensor_data,success,0,64.145.13.218,30.08335,83.39095,3.43,30.11281,83.38026,phone,ios,39.41,29.15,67.82,100.0,332.55,10.11,0,76.25,38.98,Normal agricultural operation
EVT_00065,2026-01-23 17:40,gateway,FARMER_077,config_change,device_config,success,0,136.6.184.240,17.11134,95.38046,5.61,17.14814,95.34438,PC,linux,28.93,40.21,65.98,45.31,1315.22,13.18,0,87.37,46.71,Normal agricultural operation
EVT_00066,2026-01-02 19:30,gateway,FARMER_102,login,auth_session,success,1,161.212.216.180,29.31591,70.52489,4.66,29.35767,70.52123,PC,windows,46.17,28.67,75.73,70.59,1268.91,19.42,0,57.47,29.25,Normal agricultural operation
EVT_00067,2026-01-18 18:46,irrigation_controller,FARMER_082,config_change,irrigation_config,success,0,80.223.122.15,21.15386,96.86071,4.65,21.19524,96.86726,laptop,windows,34.21,43.79,62.56,72.95,1035.75,0.0,0,96.39,32.77,Normal agricultural operation
EVT_00068,2026-01-24 19:15,irrigation_controller,FARMER_101,config_change,irrigation_config,success,1,43.190.64.192,13.53935,76.03962,4.87,13.51606,76.07781,phone,ios,69.55,32.52,51.81,100.0,1700.81,11.45,0,73.03,21.72,Normal agricultural operation
EVT_00069,2026-01-21 17:11,irrigation_controller,FARMER_047,config_change,irrigation_config,success,0,128.85.188.41,33.84566,86.00149,4.74,33.81833,85.96206,PC,windows,44.1,40.63,91.77,87.62,1325.14,26.29,0,69.23,20.65,Normal agricultural operation
EVT_00070,2026-02-12 09:04,gateway,FARMER_005,transmit,sensor_data,success,1,58.164.127.107,20.13465,95.06427,5.09,20.15752,95.10648,laptop,windows,46.97,10.61,62.59,90.86,2360.29,39.65,0,71.37,44.75,Normal agricultural operation
EVT_00071,2026-01-04 03:17,irrigation_controller,FARMER_111,update,irrigation_config,success,1,199.159.167.23,15.18716,93.60998,6.34,15.23636,93.63991,PC,linux,41.37,23.31,35.88,100.0,2424.07,14.76,0,73.79,51.27,Normal agricultural operation
EVT_00072,2026-02-06 05:24,soil_sensor,FARMER_020,read,sensor_data,success,0,105.12.119.139,33.49652,69.69918,2.35,33.48293,69.67983,phone,ios,25.75,43.17,63.2,93.15,448.55,24.76,0,87.94,34.14,Normal agricultural operation
EVT_00073,2026-01-11 20:08,irrigation_controller,FARMER_063,update,irrigation_config,success,0,37.143.47.12,21.23497,96.86924,4.42,21.19524,96.86726,PC,linux,21.15,33.86,47.44,71.93,876.36,7.4,0,71.19,47.04,Normal agricultural operation
EVT_00074,2026-01-31 03:33,soil_sensor,FARMER_031,read,sensor_data,success,1,67.161.201.180,36.07438,89.66849,2.88,36.09257,89.69129,phone,android,39.46,40.13,82.41,85.12,1494.27,6.75,0,80.33,39.34,Normal agricultural operation
EVT_00075,2026-01-06 11:52,irrigation_controller,FARMER_046,config_change,irrigation_config,success,0,116.157.237.68,10.59541,86.2267,5.66,10.63637,86.19594,laptop,windows,47.59,47.31,77.1,97.71,1940.15,13.02,0,88.85,27.26,Normal agricultural operation
EVT_00076,2026-02-07 07:45,soil_sensor,FARMER_004,read,sensor_data,success,1,219.231.127.25,15.70255,85.69418,5.43,15.74236,85.6648,phone,android,45.32,44.52,72.88,81.61,1725.43,2.65,0,90.25,39.34,Normal agricultural operation
EVT_00077,2026-02-12 16:04,gateway,FARMER_011,config_change,device_config,success,1,209.38.11.17,21.82344,93.2949,4.51,21.78319,93.30056,phone,android,62.23,20.49,60.83,83.6,917.57,16.47,0,49.43,53.46,Normal agricultural operation
EVT_00078,2026-01-18 23:26,irrigation_controller,FARMER_004,update,irrigation_config,success,1,175.218.88.91,24.32051,94.01436,5.08,24.27968,94.03686,laptop,windows,31.19,42.21,67.5,80.31,1843.41,4.24,0,86.63,34.57,Normal agricultural operation
EVT_00079,2026-01-03 18:36,gateway,FARMER_036,login,auth_session,success,1,52.127.9.254,30.141,83.36617,3.41,30.11281,83.38026,PC,linux,32.65,39.65,57.82,90.01,2164.74,17.2,0,100.0,53.78,Normal agricultural operation
EVT_00080,2026-01-13 18:51,gateway,FARMER_104,login,auth_session,success,1,197.119.81.26,25.27171,71.45336,2.93,25.25602,71.47671,PC,windows,46.34,31.93,26.69,44.56,452.46,0.0,0,100.0,3.56,Normal agricultural operation
EVT_00081,2026-02-08 11:12,soil_sensor,FARMER_023,read,sensor_data,success,0,152.162.183.234,14.23322,84.54542,2.77,14.21287,84.56025,PC,windows,34.26,27.76,93.9,77.82,741.75,15.42,0,69.05,44.86,Normal agricultural operation
EVT_00082,2026-01-11 14:05,irrigation_controller,FARMER_029,config_change,irrigation_config,success,0,135.244.0.85,22.05374,69.66348,5.05,22.08359,69.70043,PC,windows,42.34,45.15,48.87,78.69,1422.46,0.0,0,57.51,36.04,Normal agricultural operation
EVT_00083,2026-02-05 05:48,gateway,FARMER_109,login,auth_session,failure,1,96.202.51.87,10.29623,76.10882,5.57,10.31397,76.06123,PC,linux,50.59,7.89,57.51,73.02,2280.49,12.0,0,100.0,31.41,Normal agricultural operation
EVT_00084,2026-01-11 03:50,gateway,FARMER_076,config_change,device_config,success,0,97.157.150.33,20.30658,90.40734,5.33,20.2837,90.36246,PC,linux,32.12,39.14,42.24,71.91,1130.45,7.44,0,100.0,36.1,Normal agricultural operation
EVT_00085,2026-01-28 19:47,soil_sensor,FARMER_082,read,sensor_data,success,0,128.72.169.191,21.16904,96.9155,5.79,21.19524,96.86726,phone,android,50.42,17.93,61.24,67.44,1744.78,15.49,0,70.81,11.15,Normal agricultural operation
EVT_00086,2026-02-05 19:38,gateway,FARMER_093,login,auth_session,success,0,113.214.85.227,12.96233,78.99208,1.32,12.96302,79.00421,PC,linux,30.68,38.27,73.2,93.34,588.86,12.71,0,67.2,32.36,Normal agricultural operation
EVT_00087,2026-01-04 08:30,gateway,FARMER_109,transmit,sensor_data,failure,11,76.10.163.67,10.27139,76.02824,5.95,10.31397,76.06123,laptop,windows,0.0,65.0,18.0,49.23,555.52,70.46,0,21.62,84.64,Multiple failed login attempts; Sensor spoofing or instability
EVT_00088,2026-01-31 01:32,weather_station,FARMER_039,read,sensor_data,success,0,25.25.201.147,7.98194,94.92994,4.15,8.01658,94.94386,laptop,windows,42.35,26.34,84.23,72.45,1044.52,21.04,0,77.58,39.29,Normal agricultural operation
EVT_00089,2026-01-14 06:44,gateway,FARMER_061,login,auth_session,success,0,102.241.250.230,16.61401,72.43675,4.57,16.6549,72.43234,phone,ios,51.39,24.3,51.95,83.66,845.62,16.56,0,75.34,52.73,Normal agricultural operation
EVT_00090,2026-02-04 05:38,gateway,FARMER_086,config_change,device_config,success,0,22.176.211.249,23.55597,84.04326,3.52,23.55061,84.00918,PC,linux,46.61,43.4,58.1,96.82,970.03,15.76,0,89.43,28.78,Normal agricultural operation
EVT_00091,2026-01-18 23:13,gateway,FARMER_092,transmit,sensor_data,success,0,129.75.61.244,13.48335,76.12625,6.38,13.51606,76.07781,phone,android,51.57,36.73,78.99,78.9,2213.01,14.76,0,82.23,25.3,Normal agricultural operation
EVT_00092,2026-02-11 10:50,gateway,FARMER_118,config_change,device_config,success,0,23.198.203.142,27.51468,89.80604,3.97,27.47902,89.80407,phone,ios,33.33,33.9,68.55,63.09,950.84,19.48,0,74.39,28.98,Normal agricultural operation
EVT_00093,2026-01-05 19:22,irrigation_controller,FARMER_100,config_change,irrigation_config,success,0,202.146.176.225,10.7874,81.5592,3.12,10.81099,81.54372,PC,linux,52.15,31.68,75.71,95.07,1236.63,12.36,0,87.04,45.98,Normal agricultural operation
EVT_00094,2026-01-11 19:29,gateway,FARMER_096,login,auth_session,failure,1,96.10.172.210,36.08198,72.8573,3.73,36.10089,72.82302,PC,windows,34.54,36.38,61.14,72.79,2319.1,16.32,0,62.08,38.95,Normal agricultural operation
EVT_00095,2026-02-03 04:02,irrigation_controller,FARMER_078,update,irrigation_config,success,0,49.226.108.234,35.78327,70.83072,3.56,35.75918,70.80477,laptop,windows,34.39,29.49,56.32,95.43,2135.32,29.7,0,78.82,28.64,Normal agricultural operation
EVT_00096,2026-01-09 18:32,gateway,FARMER_026,transmit,sensor_data,success,0,64.16.233.13,28.83121,75.63293,3.17,28.81075,75.65553,laptop,linux,39.83,26.95,57.2,93.27,1419.76,9.81,0,70.43,41.16,Normal agricultural operation
EVT_00097,2026-02-09 14:47,irrigation_controller,FARMER_076,update,irrigation_config,success,1,89.83.132.192,28.39162,76.345,6.49,28.43258,76.39225,phone,android,55.73,17.56,65.36,89.66,1368.9,21.72,0,64.87,36.16,Normal agricultural operation
EVT_00098,2026-02-09 08:24,gateway,FARMER_099,transmit,sensor_data,success,0,122.67.88.154,12.2671,94.08129,3.29,12.29472,94.07046,laptop,linux,29.29,22.24,69.72,73.8,1703.07,0.29,0,81.0,46.62,Normal agricultural operation
EVT_00099,2026-02-07 12:22,irrigation_controller,FARMER_051,config_change,irrigation_config,success,0,2.191.144.77,9.65596,92.71251,1.81,9.65779,92.72888,laptop,linux,48.52,24.65,55.33,51.32,1188.19,20.43,0,79.33,26.58,Normal agricultural operation
EVT_00100,2026-02-06 15:44,gateway,FARMER_103,transmit,sensor_data,success,1,170.163.71.185,15.7579,85.71455,5.6,15.74236,85.6648,laptop,linux,14.25,17.86,76.83,40.67,250.41,18.69,0,62.57,31.07,Normal agricultural operation
EVT_00101,2026-02-02 11:11,soil_sensor,FARMER_088,read,sensor_data,success,1,172.183.153.217,18.30322,89.58209,507.09,20.23573,82.6553,phone,ios,95.0,65.0,95.0,45.54,1333.51,73.53,0,30.99,85.32,Unusual geographic access; Sensor spoofing or instability
EVT_00102,2026-01-04 05:47,irrigation_controller,FARMER_114,update,irrigation_config,success,0,129.61.195.136,29.13451,70.8912,3.73,29.1432,70.85412,phone,android,31.37,38.23,62.34,100.0,1189.56,20.54,0,75.25,30.29,Normal agricultural operation
EVT_00103,2026-02-09 05:57,gateway,FARMER_024,config_change,device_config,success,0,125.170.90.81,20.6607,74.51143,4.94,20.7049,74.51622,phone,android,35.22,27.56,68.73,56.24,1776.4,22.75,0,60.7,17.44,Normal agricultural operation
EVT_00104,2026-01-22 17:26,irrigation_controller,FARMER_001,update,irrigation_config,success,0,137.102.191.244,10.67557,86.22162,5.18,10.63637,86.19594,PC,windows,47.91,30.81,63.15,78.97,836.89,21.19,0,66.34,38.55,Normal agricultural operation
EVT_00105,2026-01-05 16:11,irrigation_controller,FARMER_065,update,irrigation_config,success,1,43.33.23.77,32.57293,89.16425,0.53,32.57734,89.16222,PC,linux,23.89,35.55,96.35,100.0,219.56,16.03,0,93.77,38.13,Normal agricultural operation
EVT_00106,2026-02-06 22:55,irrigation_controller,FARMER_003,update,irrigation_config,success,0,58.67.108.188,14.22184,84.52715,3.7,14.21287,84.56025,laptop,windows,66.37,20.89,78.15,82.6,400.0,12.4,0,73.21,35.06,Normal agricultural operation
EVT_00107,2026-01-05 22:05,gateway,FARMER_108,config_change,device_config,success,0,13.59.213.114,9.96952,71.69862,4.99,10.00716,71.72335,PC,windows,47.46,43.16,78.65,80.85,1934.54,22.18,0,58.18,32.18,Normal agricultural operation
